ROW,TAXON_NAME,TAXA_COARSE,NOTE
21262,Clione limacina,Clione limacina,
21362,Clione limacina,Clione limacina,
21445,Clione limacina,Clione limacina,
21937,Clione limacina,Clione limacina,
22021,Clione limacina,Clione limacina,
22022,Clione limacina,Clione limacina,
22130,Clione limacina,Clione limacina,
22131,Clione limacina,Clione limacina,
22402,Clione limacina,Clione limacina,
22567,Clione limacina,Clione limacina,
22641,Clione limacina,Clione limacina,
22642,Clione limacina,Clione limacina,
22749,Clione limacina,Clione limacina,
22855,Clione limacina,Clione limacina,
22941,Clione limacina,Clione limacina,
23020,Clione limacina,Clione limacina,
23079,Clione limacina,Clione limacina,
23080,Clione limacina,Clione limacina,
23141,Clione limacina,Clione limacina,
23142,Clione limacina,Clione limacina,
23204,Clione limacina,Clione limacina,
23205,Clione limacina,Clione limacina,
23275,Clione limacina,Clione limacina,
23363,Clione limacina,Clione limacina,
23364,Clione limacina,Clione limacina,
23424,Clione limacina,Clione limacina,
23462,Clione limacina,Clione limacina,
23463,Clione limacina,Clione limacina,
23502,Clione limacina,Clione limacina,
23503,Clione limacina,Clione limacina,
23537,Clione limacina,Clione limacina,
23538,Clione limacina,Clione limacina,
23578,Clione limacina,Clione limacina,
23579,Clione limacina,Clione limacina,
23640,Clione limacina,Clione limacina,
23641,Clione limacina,Clione limacina,
23684,Clione limacina,Clione limacina,
23727,Clione limacina,Clione limacina,
23801,Clione limacina,Clione limacina,
23849,Clione limacina,Clione limacina,
23909,Clione limacina,Clione limacina,
23985,Clione limacina,Clione limacina,
24051,Clione limacina,Clione limacina,
24052,Clione limacina,Clione limacina,
24106,Clione limacina,Clione limacina,
24107,Clione limacina,Clione limacina,
24163,Clione limacina,Clione limacina,
24222,Clione limacina,Clione limacina,
24283,Clione limacina,Clione limacina,
24284,Clione limacina,Clione limacina,
24355,Clione limacina,Clione limacina,
24356,Clione limacina,Clione limacina,
24424,Clione limacina,Clione limacina,
24425,Clione limacina,Clione limacina,
24556,Clione limacina,Clione limacina,
24615,Clione limacina,Clione limacina,
24616,Clione limacina,Clione limacina,
24678,Clione limacina,Clione limacina,
24679,Clione limacina,Clione limacina,
24743,Clione limacina,Clione limacina,
24744,Clione limacina,Clione limacina,
24856,Clione limacina,Clione limacina,
24857,Clione limacina,Clione limacina,
24944,Clione limacina,Clione limacina,
25018,Clione limacina,Clione limacina,
25084,Clione limacina,Clione limacina,
25085,Clione limacina,Clione limacina,
25317,Clione limacina,Clione limacina,
25506,Clione limacina,Clione limacina,
25588,Clione limacina,Clione limacina,
25589,Clione limacina,Clione limacina,
25676,Clione limacina,Clione limacina,
25761,Clione limacina,Clione limacina,
25848,Clione limacina,Clione limacina,
25849,Clione limacina,Clione limacina,
25937,Clione limacina,Clione limacina,
25938,Clione limacina,Clione limacina,
26039,Clione limacina,Clione limacina,
26040,Clione limacina,Clione limacina,
26126,Clione limacina,Clione limacina,
26196,Clione limacina,Clione limacina,
26197,Clione limacina,Clione limacina,
26275,Clione limacina,Clione limacina,
7174,Clytia,Cnidaria,
7286,Clytia,Cnidaria,
7348,Clytia,Cnidaria,
8012,Clytia,Cnidaria,
8074,Clytia,Cnidaria,
8122,Clytia,Cnidaria,
8175,Clytia,Cnidaria,
8313,Clytia,Cnidaria,
8362,Clytia,Cnidaria,
8416,Clytia,Cnidaria,
8475,Clytia,Cnidaria,
8750,Clytia,Cnidaria,
8826,Clytia,Cnidaria,
9040,Clytia,Cnidaria,
9153,Clytia,Cnidaria,
9216,Clytia,Cnidaria,
10061,Clytia,Cnidaria,
11635,Clytia,Cnidaria,
13837,Clytia,Cnidaria,
15299,Clytia,Cnidaria,
15597,Clytia,Cnidaria,
19639,Clytia,Cnidaria,
19682,Clytia,Cnidaria,
19730,Clytia,Cnidaria,
22591,Clytia,Cnidaria,
22671,Clytia,Cnidaria,
22879,Clytia,Cnidaria,
22966,Clytia,Cnidaria,
23110,Clytia,Cnidaria,
23177,Clytia,Cnidaria,
23244,Clytia,Cnidaria,
23315,Clytia,Cnidaria,
23484,Clytia,Cnidaria,
23518,Clytia,Cnidaria,
23553,Clytia,Cnidaria,
23605,Clytia,Cnidaria,
23865,Clytia,Cnidaria,
24778,Clytia,Cnidaria,
24885,Clytia,Cnidaria,
25026,Clytia,Cnidaria,
25870,Clytia,Cnidaria,
